Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Mean entropy;0,741;0,369;-0,34%;-5,91%;"Jan Gnatowski, ""Na Smierc"
;;;;;;;"1863"""
;;Maximum entropy;0,854;0,318;14,81%;-18,96%;"Karol Langie, ""O Sprawie Glodowej W Galicyi 1866"""
;;Minimum complexity;0,854;0,318;14,81%;-18,96%;"Karol Langie, ""O Sprawie Glodowej W Galicyi 1866"""
;;Mean complexity;0,718;0,392;-3,45%;-0,05%;"Bogus?aw Sujkowski, ""Miasto przebudzone"" "
;;Maximum complexity;0,702;0,472;-5,58%;20,35%;"Gabriela Zapolska, ""Menazerya ludzka"""
;;Mean entropy and complexity;0,819;0,372;10,13%;-5,14%;"Kazimierz Brodzi?ski, ""Wies?aw"""
7;1;Minimum entropy;0,723;0,555;-10,69%;15,88%;"Maciej Їerdziсski, ""Krew i deszcz"""
;;Mean entropy;0,808;0,495;-0,22%;3,39%;"Ludwik Bruner, ""Jeden miesi?c ?ycia"""
;;Maximum entropy;0,872;0,388;7,66%;-18,95%;"Zygmunt Krasi?ski, ""Moja Beatrice"""
;;Minimum complexity;0,872;0,388;7,66%;-18,95%;"Zygmunt Krasi?ski, ""Moja Beatrice"""
;;Mean complexity;0,824;0,473;1,84%;-1,11%;"Maciej ?ubie?ski, ""Ironia Pozor?w"""
;;Maximum complexity;0,723;0,555;-10,69%;15,88%;"Ludwik Bruner, ""Jeden miesi?c ?ycia"""
;;Mean entropy and complexity;0,789;0,516;-2,54%;7,79%;"Gabriela Zapolska, ""Menazerya ludzka"""
;;;;;;;
Kabyle;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;2;Minimum entropy;0,528;0,363;-18,52%;6,96%;Age??uf
;;Mean entropy;0,649;0,332;-0,01%;-2,20%;Asamar alemmas
;;Maximum entropy;0,777;0,288;19,74%;-15,16%;Aremma?
;;Minimum complexity;0,77;0,271;18,70%;-20,16%;L?eyya?i Berbas
;;Mean complexity;0,608;0,339;-6,26%;-0,01%;Mhenni Xalifi
;;Maximum complexity;0,58;0,372;-10,53%;9,59%;Ad?es
;;Mean entropy and complexity;0,665;0,313;2,54%;-7,84%;Agraw n Euro
3;3;Minimum entropy;0,345;0,311;-20,67%;-16,46%;Le?wa?
;;Mean entropy;0,435;0,363;-0,02%;-2,58%;Edu
;;Maximum entropy;0,584;0,427;34,05%;14,66%;Azara
;;Minimum complexity;0,346;0,311;-20,43%;-16,60%;Tasmekta
;;Mean complexity;0,441;0,373;1,34%;-0,02%;Brasilia
;;Maximum complexity;0,532;0,429;22,11%;15,04%;Ikeffis
;;Mean entropy and complexity;0,435;0,377;-0,12%;1,11%;Adfel
5;1;Minimum entropy;0,698;0,403;-8,74%;12,87%;L?egla Lmal?a
;;Mean entropy;0,765;0,361;-0,02%;1,09%;?a?a
;;Maximum entropy;0,841;0,284;9,86%;-20,32%;Mehdi Serba?
;;Minimum complexity;0,841;0,284;9,86%;-20,32%;Mehdi Serba?
;;Mean complexity;0,773;0,356;0,96%;-0,12%;Ooredoo (Lezzayer)
;;Maximum complexity;0,703;0,407;-8,09%;14,05%;Akerrer
;;Mean entropy and complexity;0,77;0,351;0,59%;-1,70%;Ami?ur
;;;;;;;
Atikamekw;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;2;Minimum entropy;0,424;0,328;-15,44%;-6,14%;Ka wapak masinahikinatikw 
;;Mean entropy;0,5;0,349;-0,28%;-0,09%;Arowepi kamok
;;Maximum entropy;0,605;0,355;20,64%;1,47%;Ickoterew
;;Minimum complexity;0,427;0,324;-14,89%;-7,27%;Mikwetc
;;Mean complexity;0,561;0,349;11,88%;0,00%;E icihonaniwok e niminaniwok
;;Maximum complexity;0,58;0,372;15,73%;6,43%;Misiwe
;;Mean entropy and complexity;0,497;0,359;-0,93%;2,71%;Iskito
3;3;Minimum entropy;0,36;0,327;-17,07%;-11,93%;E aistakok
;;Mean entropy;0,434;0,366;-0,16%;-1,37%;Eva Ottawa
;;Maximum entropy;0,524;0,414;20,72%;11,60%;Mantcoc
;;Minimum complexity;0,366;0,327;-15,79%;-11,95%;Jean-Baptiste Dub?
;;Mean complexity;0,443;0,371;1,96%;-0,02%;Amiskw opitcikai
;;Maximum complexity;0,523;0,423;20,46%;14,12%;Osawaskamikwaapi
;;Mean entropy and complexity;0,434;0,375;0,06%;0,97%;Kinepikocic
5;1;Minimum entropy;0,686;0,404;-9,58%;11,71%;Cicip
;;Mean entropy;0,758;0,371;-0,11%;2,67%;Huntingdon
;;Maximum entropy;0,839;0,288;10,61%;-20,40%;Apikocic
;;Minimum complexity;0,834;0,288;9,95%;-20,47%;Ga'axstal'as, Jane Constance Cook
;;Mean complexity;0,759;0,361;0,12%;-0,11%;Nehirowisiw
;;Maximum complexity;0,696;0,41;-8,22%;13,29%;Akimaskw orakeskw
;;Mean entropy and complexity;0,752;0,379;-0,82%;4,69%;Ocawasko mikowapi
;;;;;;;
Coptic;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;3;Minimum entropy;0,747;0,334;-10,55%;14,99%;24 Jeremiah 44
;;Mean entropy;0,835;0,289;0,00%;-0,35%;44 Acts of the Apostles 13
;;Maximum entropy;0,881;0,235;5,43%;-19,16%;23 Isaiah 8
;;Minimum complexity;0,868;0,234;3,96%;-19,41%;Life of Longinus and Lucius part 1
;;Mean complexity;0,844;0,29;1,08%;-0,01%;67 Tobit 13
;;Maximum complexity;0,793;0,351;-5,07%;20,70%;The Life of John the Kalybites part 1
;;Mean entropy and complexity;0,83;0,307;-0,59%;5,60%;On Mercy and Judgment
3;4;Minimum entropy;0,61;0,504;-14,64%;5,21%;09 I Samuel 22
;;Mean entropy;0,715;0,493;-0,01%;2,74%;God Says Through Those Who Are His: GF 259-262
;;Maximum entropy;0,823;0,383;15,12%;-20,12%;On the End of the World and on Temple of Solomon
;;Minimum complexity;0,813;0,38;13,78%;-20,70%;Pistis Sophia Book 1 Part 3
;;Mean complexity;0,745;0,479;4,25%;-0,02%;47 2 Corinthians 1
;;Maximum complexity;0,659;0,514;-7,87%;7,19%;19 Psalms 84
;;Mean entropy and complexity;0,698;0,506;-2,31%;5,60%;Pistis Sophia Book 1 Part 6
3;5;Minimum entropy;0,5;0,478;-16,73%;-10,50%;23 Isaiah 11
;;Mean entropy;0,6;0,541;-0,05%;1,38%;42 Luke 22
;;Maximum entropy;0,705;0,542;17,35%;1,58%;Pistis Sophia Book 1 Part 7
;;Minimum complexity;0,501;0,476;-16,60%;-10,80%;Life of Pisentius part 1
;;Mean complexity;0,597;0,534;-0,61%;0,00%;10 II Samuel 21
;;Maximum complexity;0,672;0,564;11,87%;5,64%;02 Exodus 21
;;Mean entropy and complexity;0,599;0,537;-0,22%;0,69%;21 Ecclesiastes 3
4;2;Minimum entropy;0,701;0,46;-11,50%;16,14%;Life of Longinus and Lucius part 1
;;Mean entropy;0,792;0,402;-0,02%;1,34%;On the Soul and Body
;;Maximum entropy;0,857;0,319;8,13%;-19,51%;24 Jeremiah 48
;;Minimum complexity;0,85;0,316;7,30%;-20,16%;On Penitence and Abstinence, part 2
;;Mean complexity;0,798;0,396;0,66%;-0,10%;Инструкции Апы Пахомия в MERC.AR в Budge ed. - часть 1
;;Maximum complexity;0,703;0,476;-11,31%;20,05%;24 Jeremiah 47
;;Mean entropy and complexity;0,787;0,41;-0,64%;3,51%;23 Isaiah 3
6;1;Minimum entropy;0,687;0,492;-13,78%;20,00%;05 Deuteronomy 4
;;Mean entropy;0,796;0,422;0,00%;2,90%;71 Sirach 47
;;Maximum entropy;0,865;0,324;8,59%;-20,97%;05 Deuteronomy 4
;;Minimum complexity;0,864;0,324;8,46%;-20,98%;46 1 Corinthians 10
;;Mean complexity;0,804;0,41;0,95%;-0,02%;71 Sirach 45
;;Maximum complexity;0,687;0,492;-13,78%;20,00%;05 Deuteronomy 4
;;Mean entropy and complexity;0,79;0,428;-0,83%;4,38%;19 Psalms 93
;;;;;;;
Czech;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;4;Minimum entropy;0,724;0,414;-8,84%;20,06%;"Vaclav Havel, ""Audience"""
;;Mean entropy;0,794;0,342;0,05%;-0,75%;"Peter M. Jolin, ""Harry Trottel a ta jemn? tenata"" 
"
;;Maximum entropy;0,849;0,297;6,99%;-13,92%;"Ludv?k Sou?ek, ""Nebesk? detektivky, senzace a z?hady""
"
;;Minimum complexity;0,848;0,292;6,81%;-15,26%;"Allan a Barbara Peasovi, ""Pro? mu?i neposlouchaj? a ?eny neum? ??st v map?ch"""
;;Mean complexity;0,785;0,346;-1,13%;0,34%;"Jaroslav Havl??ek, ""Ta t?et?"""
;;Maximum complexity;0,746;0,417;-6,02%;20,99%;"Lip?ansk? Jan, ""Invaze p?edt?m, te? a potom"""
;;Mean entropy and complexity;0,8;0,333;0,76%;-3,31%;"Miloslav ?vandrl?k, ""100 nejlep??ch horor?"""
3;6;Minimum entropy;0,588;0,549;-14,48%;6,42%;"Ji?? Charv?t, ""Z?klady mezilidsk? komunikace"""
;;Mean entropy;0,689;0,533;0,15%;3,23%;"Miloslav ?vandrl?k, ""Dracul?v temn? st?n"""
;;Maximum entropy;0,777;0,466;13,00%;-9,67%;"Ludv?k Sou?ek, ""Tu?en? souvislosti"""
;;Minimum complexity;0,713;0,455;3,75%;-11,74%;"Franti?ek Novotn?, ""Dlouh? den Valhaly"""
;;Mean complexity;0,659;0,516;-4,21%;0,11%;"Inna Rottov?, ""P??pad and?lsk? ko?ile"""
;;Maximum complexity;0,691;0,594;0,50%;15,18%;"Stanislav Hoferek, ""Einsteinove h?danky"""
;;Mean entropy and complexity;0,693;0,513;0,76%;-0,47%;"Jaroslav Ku??k, ""Zlo?in na golfu"""
3;8;Minimum entropy;0,481;0,479;-17,31%;-14,48%;"Milan Cile?ek, ""Blue Girl"""
;;Mean entropy;0,582;0,564;0,00%;0,77%;"""Kam jsi do?el Krasav?e"""
;;Maximum entropy;0,68;0,617;16,91%;10,16%;"Ludv?k Sou?ek, ""Tu?en? souvislosti"""
;;Minimum complexity;0,481;0,479;-17,31%;-14,48%;"Milan Cile?ek, ""Blue Girl"""
;;Mean complexity;0,588;0,56;1,17%;0,02%;"Magda V??ov?, ""Neb?t s?m"""
;;Maximum complexity;0,653;0,618;12,30%;10,25%;"Vlastimil Vondru?ka, ""?ivot ve stalet?ch - 13. stolet?"""
;;Mean entropy and complexity;0,582;0,561;0,10%;0,17%;"Vlasta Javo?ick?, ""Vykoupen? ?t?st? 1. d?l"""
4;3;Minimum entropy;0,702;0,553;-11,59%;19,22%;"Vaclav Havel, ""Audience"""
;;Mean entropy;0,794;0,446;0,00%;-3,78%;"Josef ?kvoreck?, ""Prima sez?na, Zbab?lci, Konec"""
;;Maximum entropy;0,837;0,41;5,42%;-11,54%;"Ludv?k Sou?ek, ""Tu?en? souvislosti"""
;;Minimum complexity;0,837;0,41;5,42%;-11,54%;"Ludv?k Sou?ek, ""Tu?en? souvislosti"""
;;Mean complexity;0,786;0,464;-0,93%;0,01%;"Karel Pol??ek, ""Mu?i v ofsajdu"""
;;Maximum complexity;0,721;0,561;-9,17%;20,80%;"V?clav Pravda, ""Rion- Dobrodru?stv? v Morini III"""
;;Mean entropy and complexity;0,809;0,441;1,93%;-5,02%;"Veis Jaroslav, ""P?ist?n? na ??pu"""
6;2;Minimum entropy;0,655;0,626;-13,15%;-2,75%;"Zuzana Haj?manov?, ""Legenda o smaragdov?ch o??ch"""
;;Mean entropy;0,754;0,641;0,00%;-0,45%;"Hana Pro?kov?, ""Zl? panenka"""
;;Maximum entropy;0,825;0,589;9,40%;-8,50%;"Jan Drnek, ""??by v ml?ku / Fantazie o jin? II. sv?tov? v?lce (1) / knihovna"""
;;Minimum complexity;0,797;0,574;5,65%;-10,85%;"Franti?ek Novotn?, ""Dlouh? den Valhaly"""
;;Mean complexity;0,756;0,644;0,21%;0,06%;"Franti?ek Niedl, ""N?vrat mistra"""
;;Maximum complexity;0,746;0,66;-1,05%;2,47%;"Josef Nesvadba, ""Vyn?lez proti sebe"""
;;Mean entropy and complexity;0,753;0,647;-0,23%;0,42%;"Jind?i?ka Pt??kov?, ""Dva kroky od st?nu"""
;;;;;;;
Quechua;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;3;Minimum entropy;0,686;0,394;-12,58%;17,80%;Kawsay yachay
;;Mean entropy;0,784;0,354;-0,05%;5,81%;Chamber C3 AD distritu
;;Maximum entropy;0,852;0,274;8,57%;-18,08%;Distrito de Chorrillos
;;Minimum complexity;0,819;0,273;4,36%;-18,38%;Wisk'achay
;;Mean complexity;0,783;0,334;-0,27%;-0,02%;Jancarurish
;;Maximum complexity;0,704;0,403;-10,29%;20,49%;Lawsuyu
;;Mean entropy and complexity;0,8;0,302;1,92%;-9,77%;Saqaqa
3;4;Minimum entropy;0,538;0,457;-15,91%;-5,49%;Suwit hu C3 B1u
;;Mean entropy;0,64;0,49;-0,02%;1,31%;Qullqa mayu
;;Maximum entropy;0,748;0,464;16,91%;-4,04%;Llallagua
;;Minimum complexity;0,683;0,41;6,75%;-15,21%;UNMSM
;;Mean complexity;0,705;0,484;10,22%;0,00%;Orcoma kantun
;;Maximum complexity;0,646;0,515;0,97%;6,51%;Iskanwaya
;;Mean entropy and complexity;0,631;0,499;-1,42%;3,26%;Zumbi
4;2;Minimum entropy;0,604;0,479;-14,73%;8,21%;Kau-hiyun
;;Mean entropy;0,708;0,469;-0,06%;5,88%;Gir C3 B3n phaqcha
;;Maximum entropy;0,834;0,352;17,74%;-20,48%;Willkapampa distritu
;;Minimum complexity;0,799;0,35;12,80%;-20,94%;Suchi llaqta 28Franz Tamayo 29
;;Mean complexity;0,757;0,443;6,87%;0,00%;San Ransisku 28Ampatu 29
;;Maximum complexity;0,66;0,486;-6,83%;9,79%;Jos C3 A9 Mat C3 ADas Manzanilla
;;Mean entropy and complexity;0,694;0,471;-1,99%;6,36%;Eladio Reyes
6;1;Minimum entropy;0,64;0,494;-14,23%;10,38%;Santa Rusa
;;Mean entropy;0,746;0,465;-0,01%;3,88%;Fedor Dostoievski
;;Maximum entropy;0,846;0,355;13,38%;-20,68%;Willka qhichwa
;;Minimum complexity;0,841;0,354;12,71%;-20,90%;Amerika
;;Mean complexity;0,754;0,447;1,10%;-0,03%;Usiyanu qucha
;;Maximum complexity;0,658;0,497;-11,81%;11,05%;Passiflora umbilicata
;;Mean entropy and complexity;0,734;0,472;-1,58%;5,49%;Ruray rimana
;;;;;;;
Navajo;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;2;Minimum entropy;0.631;0.347;-13.77%;15.38%;At???? yin????n? bin??? ?igaa?g??
;;Mean entropy;0.731;0.303;0,00%;0.62%;Naakaii Bik?yahd????? at?a? yilt?????tah t??iish
;;Maximum entropy;0.835;0.241;14.17%;-20.12%;Nahat?e?iitsoh Bik?yahd????? tsineeshb?zhii yisht?izh?g??
;;Minimum complexity;0.835;0.241;14.17%;-20.12%;Nahat?e?iitsoh Bik?yahd????? tsineeshb?zhii yisht?izh?g??
;;Mean complexity;0.733;0.301;0.22%;0,00%;T? w?naan?d????? ch?a? k?aasd?h? bin?ghah ?itsoo?g??
;;Maximum complexity;0.669;0.359;-8.48%;19.34%;Hod??ch?iltah ay?n?chil?
;;Mean entropy and complexity;0.731;0.313;0.01%;4.03%;Na?ageed? biza?azis h?l?n?
3;3;Minimum entropy;0.487;0.41;-17.41%;-4.82%;Dah Woozh Bikooh
;;Mean entropy;0.589;0.434;-0.02%;0.74%;Naakaii ?izhin? Bik?yahd????? n??ts?? ch?a?
;;Maximum entropy;0.711;0.422;20.74%;-1.98%;Ch?iy??t?ogii dib??ch??? bitsiit???d dinilgaa?g??
;;Minimum complexity;0.711;0.422;20.74%;-1.98%;Ch?iy??t?ogii dib??ch??? bitsiit???d dinilgaa?g??
;;Mean complexity;0.578;0.434;-1.98%;0.66%;T??h d??? yist??in?g??
;;Maximum complexity;0.633;0.45;7.39%;4.36%;Atseent?l? ?izhin?g??
;;Mean entropy and complexity;0.592;0.436;0.4%;1.11%;Naakaii Bik?yahd????? na?ash???ii ch????shk??h? dinilzhin?g??
4;3;Minimum entropy;0.289;0.287;-19.87%;-19.35%;Gaan??n?chil? d?? Gaan??n? doo yit??inii
;;Mean entropy;0.36;0.356;-0.13%;-0.02%;Ts?dii bit?atah h?zh??n y?zh?
;;Maximum entropy;0.432;0.423;19.85%;18.9%;T?b??h ch?osh bik?g? nt??iz
;;Minimum complexity;0.289;0.287;-19.87%;-19.35%;Gaan??n?chil? d?? Gaan??n? doo yit??inii
;;Mean complexity;0.36;0.356;-0.13%;-0.02%;Ch?il bijeeh yidl?n? bit??l ?ikizh?g??
;;Maximum complexity;0.436;0.427;20.95%;19.91%;Toohj?? noo?nahii bitsiit???d halzhin?g??
;;Mean entropy and complexity;0.363;0.359;0.8%;0.87%;Ts? ?t?i?? Bikooh
5;1;Minimum entropy;0.576;0.412;-15.01%;4.58%;??? Neishoodii Bikin ??ts???s? Bi? Hahoodzo
;;Mean entropy;0.678;0.41;0,00%;4.19%;Nanist?n? Bi? Ts?koohdi chid? naat?a?? ?dinib??h?gi
;;Maximum entropy;0.812;0.321;19.86%;-18.34%;Ts?diiy??ti??daa?? bitsii? dib??ch???g??
;;Minimum complexity;0.812;0.321;19.86%;-18.34%;Ts?diiy??ti??daa?? bitsii? dib??ch???g??
;;Mean complexity;0.715;0.394;5.55%;-0.01%;Na?ashj??ii haalzheehii biz??? halb?h?g??
;;Maximum complexity;0.615;0.425;-9.27%;7.93%;E?e?aahj? T?nteeld????? na?ash???iilk??h? yisht?izh?g??
;;Mean entropy and complexity;0.682;0.399;0.66%;1.38%;Nashkaadii Bighan
;;;;;;;
Arabic;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;7;Minimum entropy;0,611;0,591;-19,45%;-5,82%;???? ????????
;;Mean entropy;0,758;0,644;-0,06%;2,65%;????? ?????
;;Maximum entropy;0,851;0,512;12,25%;-18,33%;??? ?????
;;Minimum complexity;0,851;0,512;12,25%;-18,33%;??? ?????
;;Mean complexity;0,791;0,626;4,33%;-0,10%;??? ???
;;Maximum complexity;0,735;0,649;-3,02%;3,43%;????? ????
;;Mean entropy and complexity;0,744;0,646;-1,87%;2,99%;???? ??????
3;8;Minimum entropy;0,543;0,538;-20,05%;-16,33%;???? ?????
;;Mean entropy;0,679;0,65;-0,04%;0,95%;???????
;;Maximum entropy;0,785;0,658;15,67%;2,32%;??? ?????
;;Minimum complexity;0,537;0,533;-20,89%;-17,16%;???? ????????
;;Mean complexity;0,669;0,643;-1,47%;0,00%;???? ?????
;;Maximum complexity;0,751;0,675;10,62%;4,87%;???????
;;Mean entropy and complexity;0,677;0,648;-0,35%;0,75%;??????????
4;4;Minimum entropy;0,608;0,59;-19,74%;-7,05%;???? ????????
;;Mean entropy;0,757;0,65;-0,02%;2,40%;???????
;;Maximum entropy;0,856;0,524;13,08%;-17,41%;??? ?????
;;Minimum complexity;0,856;0,524;13,08%;-17,41%;??? ?????
;;Mean complexity;0,781;0,634;3,18%;-0,06%;???? ?????? ?????????????
;;Maximum complexity;0,741;0,652;-2,16%;2,85%;???? ??????
;;Mean entropy and complexity;0,748;0,647;-1,23%;1,97%;?????? ?????? ???? ??? ????? ???????
4;5;Minimum entropy;0,496;0,494;-20,62%;-19,41%;???? ?????
;;Mean entropy;0,624;0,616;-0,04%;0,39%;???????
;;Maximum entropy;0,74;0,694;18,59%;13,07%;??? ?????
;;Minimum complexity;0,496;0,494;-20,62%;-19,41%;???? ?????
;;Mean complexity;0,621;0,614;-0,48%;0,00%;???? ???
;;Maximum complexity;0,74;0,694;18,59%;13,07%;??? ?????
;;Mean entropy and complexity;0,624;0,616;-0,04%;0,39%;???????
5;3;Minimum entropy;0,549;0,544;-20,45%;-16,33%;???? ?????
;;Mean entropy;0,689;0,658;-0,08%;1,08%;???????
;;Maximum entropy;0,811;0,658;17,63%;1,09%;??? ?????
;;Minimum complexity;0,549;0,544;-20,45%;-16,33%;???? ?????
;;Mean complexity;0,677;0,65;-1,81%;-0,02%;??? ??? ???
;;Maximum complexity;0,757;0,68;9,70%;4,57%;????????
;;Mean entropy and complexity;0,687;0,656;-0,44%;0,87%;???????????
;;;;;;;
Dholuo;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,615;0,55;-19,65%;15,87%;Filemon
;;Mean entropy;0,754;0,531;-1,43%;11,85%;Jo-Efeso
;;Maximum entropy;0,846;0,393;10,56%;-17,29%;Injili Mar Johana
;;Minimum complexity;0,831;0,387;8,63%;-18,54%;Isaya
;;Mean complexity;0,805;0,466;5,21%;-1,77%;Jo-Hibrania
;;Maximum complexity;0,694;0,564;-9,34%;18,70%;Nahum
;;Mean entropy and complexity;0,791;0,443;3,33%;-6,79%;Ngeche
3;6;Minimum entropy;0,507;0,495;-20,42%;-12,30%;Obadia
;;Mean entropy;0,628;0,578;-1,43%;2,45%;Jo-Efeso
;;Maximum entropy;0,733;0,551;15,00%;-2,45%;Rapar Mar Chik
;;Minimum complexity;0,507;0,495;-20,42%;-12,30%;Obadia
;;Mean complexity;0,6;0,564;-5,95%;-0,05%;2 Jo-Thesalonika
;;Maximum complexity;0,687;0,589;7,74%;4,30%;Fweny
;;Mean entropy and complexity;0,634;0,569;-0,59%;0,86%;Ezra
4;3;Minimum entropy;0,634;0,57;-18,32%;14,70%;Juda
;;Mean entropy;0,752;0,572;-3,03%;14,95%;1 Petro
;;Maximum entropy;0,861;0,401;10,95%;-19,32%;Isaya
;;Minimum complexity;0,861;0,401;10,95%;-19,32%;Isaya
;;Mean complexity;0,825;0,494;6,40%;-0,69%;Jo-Hibrania
;;Maximum complexity;0,688;0,585;-11,36%;17,58%;Habakuk
;;Mean entropy and complexity;0,722;0,583;-6,98%;17,16%;2 Jo-Thesalonika
4;4;Minimum entropy;0,498;0,494;-20,16%;-19,55%;Hagai
;;Mean entropy;0,596;0,58;-4,46%;-5,39%;Jo-Efeso
;;Maximum entropy;0,74;0,646;18,56%;5,27%;Chakruok
;;Minimum complexity;0,498;0,494;-20,16%;-19,55%;Hagai
;;Mean complexity;0,596;0,58;-4,46%;-5,39%;Jo-Efeso
;;Maximum complexity;0,734;0,651;17,64%;6,08%;Tich Joote
;;Mean entropy and complexity;0,6;0,583;-3,95%;-4,97%;Jo-Galatia
5;2;Minimum entropy;0,634;0,572;-19,26%;16,15%;3 Johana
;;Mean entropy;0,757;0,571;-3,63%;15,96%;1 Timotheo
;;Maximum entropy;0,876;0,4;11,46%;-18,77%;Injili Mar Johana
;;Minimum complexity;0,876;0,4;11,46%;-18,77%;Injili Mar Johana
;;Mean complexity;0,833;0,49;5,98%;-0,42%;Jo-Hibrania
;;Maximum complexity;0,702;0,586;-10,61%;19,03%;Zekaria
;;Mean entropy and complexity;0,73;0,583;-7,08%;18,38%;Ruth
5;3;Minimum entropy;0,448;0,447;-20,68%;-19,01%;Hagai
;;Mean entropy;0,562;0,556;-0,48%;0,79%;Zekaria
;;Maximum entropy;0,678;0,648;20,05%;17,54%;Jeremia
;;Minimum complexity;0,448;0,447;-20,68%;-19,01%;Hagai
;;Mean complexity;0,536;0,532;-4,99%;-3,45%;Jo-Galatia
;;Maximum complexity;0,677;0,65;20,04%;17,79%;Chakruok
;;Mean entropy and complexity;0,565;0,559;0,03%;1,33%;Eklesiastes
;;;;;;;
Oromo;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,622;0,554;-20,94%;18,60%;Filemon
;;Mean entropy;0,778;0,521;-1,10%;11,53%;Jo-Efeso
;;Maximum entropy;0,86;0,38;9,38%;-18,68%;Macaafa Isaayaas Raajichaa
;;Minimum complexity;0,86;0,38;9,38%;-18,68%;Macaafa Isaayaas Raajichaa
;;Mean complexity;0,832;0,456;5,81%;-2,37%;Jo-Hibrania
;;Maximum complexity;0,687;0,564;-12,71%;20,71%;Macaafa Haagee Raajichaa
;;Mean entropy and complexity;0,737;0,552;-6,24%;18,11%;Gara Warra Tasaloniqee
3;6;Minimum entropy;0,518;0,505;-20,94%;-12,30%;Obadia
;;Mean entropy;0,648;0,59;-1,10%;2,51%;Jo-Efeso
;;Maximum entropy;0,741;0,588;13,01%;2,09%;Hojii Ergamootaa
;;Minimum complexity;0,518;0,505;-20,94%;-12,30%;Obadia
;;Mean complexity;0,682;0,575;4,09%;-0,18%;Macaafa Seenaa Baraa Isa Duraa
;;Maximum complexity;0,703;0,603;7,22%;4,74%;Bara Ibrootaa
;;Mean entropy and complexity;0,644;0,59;-1,75%;2,51%;Ezra
4;4;Minimum entropy;0,498;0,493;-19,76%;-15,45%;Macaafa Sefaaniyaa Raajichaa
;;Mean entropy;0,611;0,592;-1,49%;1,45%;1 Petro
;;Maximum entropy;0,747;0,649;20,43%;11,32%;Isaya
;;Minimum complexity;0,498;0,493;-19,76%;-15,45%;Macaafa Sefaaniyaa Raajichaa
;;Mean complexity;0,596;0,58;-3,85%;-0,46%;Jo-Hibrania
;;Maximum complexity;0,747;0,649;20,43%;11,32%;Habakuk
;;Mean entropy and complexity;0,611;0,592;-1,49%;1,45%;Macaafa Lallabaa
5;2;Minimum entropy;0,639;0,574;-17,95%;15,57%;Ergaa Yihudaa
;;Mean entropy;0,773;0,561;-0,81%;13,00%;Gara Warra Galaatiyaa
;;Maximum entropy;0,873;0,401;12,01%;-19,29%;Macaafa Saamu'el Isa Lammaffaa
;;Minimum complexity;0,873;0,401;12,01%;-19,29%;Macaafa Saamu'el Isa Lammaffaa
;;Mean complexity;0,833;0,493;6,89%;-0,82%;Bara Ibrootaa
;;Maximum complexity;0,714;0,586;-8,38%;18,07%;Macaafa Miilkiyaas Raajichaa
;;Mean entropy and complexity;0,723;0,584;-7,19%;17,68%;Jo-Galatia
5;3;Minimum entropy;0,441;0,44;-20,62%;-19,40%;Macaafa Sefaaniyaa Raajichaa
;;Mean entropy;0,546;0,541;-1,78%;-0,86%;Macaafa Lallabaa
;;Maximum entropy;0,672;0,646;20,99%;18,38%;Injili Mar Johana
;;Minimum complexity;0,441;0,44;-20,62%;-19,40%;Macaafa Sefaaniyaa Raajichaa
;;Mean complexity;0,546;0,541;-1,78%;-0,86%;Macaafa Lallabaa
;;Maximum complexity;0,672;0,646;20,99%;18,38%;Zekaria
;;Mean entropy and complexity;0,559;0,554;0,64%;1,43%;Macaafa Asteer
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
